"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","28.88768898","32.35490911","35.82212923","39.28934935","42.75656947","46.2237896","49.69100972","53.15822984","56.62544996","60.09267009","63.55989021","67.02711033","70.49433045","69.06366582","67.63300118","66.20233654","64.76909672","63.33778829","61.90647986","60.47517143","59.04386299","57.61255456","56.18124613","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","54.75701944","","","",
"Africa Western and Central","AFW","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.273209549","1.305937564","1.338665579","1.371393593","1.404121608","1.436849623","1.469577637","1.502305652","1.535033667","1.567761681","1.600489696","1.633217711","1.665945725","1.69867374","1.73331565","1.76795756","1.80259947","1.837241379","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","1.871883289","","","",
"Albania","ALB","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.211538462","7.162139423","7.112740385","7.063341346","7.013942308","6.964543269","7.780528846","8.596514423","9.4125","10.22848558","11.04447115","10.51959135","9.994711539","9.469831731","8.944951923","8.420072115","7.646754808","7.4984375","7.350120192","7.201802885","7.053485577","6.905168269","6.756850962","6.608533654","6.460216346","5.528846154","6.5625","6.556490385","5.757211539","6.796875","4.723557692","4.783653846","4.789663462","","","",
"Andorra","AND","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","600","653.6888889","707.3777778","761.0666667","814.7555556","868.4444444","922.1333333","975.8222222","1029.511111","1083.2","1028.222222","1052.311111","1076.4","1100.488889","1124.577778","1148.666667","1254.813333","1360.96","1467.106667","1573.253333","1555.866667","1527.928889","1499.991111","1472.053333","1669.36","1866.666667","1849.636364","1832.606061","1815.575758","1798.545455","1781.515152","1764.484848","1747.454545","1730.424242","1713.393939","1696.363636","1679.333333","1630","1667.333333","1628.666667","1587.333333","1533.333333","1509.933333","","","",
"Argentina","ARG","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","7.657307735","7.671607509","7.685907283","7.700207057","7.714506831","7.728806605","7.743106379","7.757406153","7.771705927","7.786005701","7.800305475","7.814605249","7.828905023","7.843204797","7.857453463","7.871804344","7.886104118","7.900403892","7.914703666","7.92900344","8.028183609","8.127363778","8.226543946","8.325724115","8.424904284","8.609566843","8.794229401","8.97889196","9.163554519","9.348217078","9.532879637","9.717542196","9.902204755","10.08686731","10.27152987","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","10.45666408","","","",
