mortality
Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-04-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Aruba;ABW;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.8517364790618;;;;;;;
Afghanistan;AFG;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.6;;;;;;;
Africa Western and Central;AFW;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.3934265091667;;;;;;;
Angola;AGO;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.9;;;;;;;
Albania;ALB;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;
Andorra;AND;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.2203903859828;;;;;;;
United Arab Emirates;ARE;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;
Argentina;ARG;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.4;;;;;;;
Armenia;ARM;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.8;;;;;;;
American Samoa;ASM;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;;;;;;;
Australia;AUS;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;
Austria;AUT;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
Azerbaijan;AZE;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;
Burundi;BDI;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.3;;;;;;;
Belgium;BEL;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.3;;;;;;;
Benin;BEN;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.2;;;;;;;
