ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Drinking water,2019,43.10084,16316306.71867,Basic service
AFG,Afghanistan,total,Drinking water,2019,4.32471,1637169.13341,Limited service
AFG,Afghanistan,total,Drinking water,2019,10.01678,3791964.36132,Surface water
AFG,Afghanistan,total,Drinking water,2019,26.72185,10115857.62016,Safely managed service
AFG,Afghanistan,total,Drinking water,2019,15.83581,5994822.59815,Unimproved
AGO,Angola,total,Drinking water,2019,64.15991,20772176.68897,At least basic
AGO,Angola,total,Drinking water,2019,10.63908,3444469.72014,Limited service
AGO,Angola,total,Drinking water,2019,12.18242,3944134.95337,Surface water
AGO,Angola,total,Drinking water,2019,13.01859,4214850.63752,Unimproved
ALB,Albania,total,Drinking water,2019,24.09237,695067.25718,Basic service
ALB,Albania,total,Drinking water,2019,2.21669,63951.65034,Limited service
ALB,Albania,total,Drinking water,2019,0,0,Surface water
ALB,Albania,total,Drinking water,2019,70.66585,2038716.95272,Safely managed service
ALB,Albania,total,Drinking water,2019,3.02509,87274.1339,Unimproved
AND,Andorra,total,Drinking water,2019,9.36,7157.96322,Basic service
AND,Andorra,total,Drinking water,2019,0,0,Limited service
AND,Andorra,total,Drinking water,2019,0,0,Surface water
AND,Andorra,total,Drinking water,2019,90.64,69316.03704,Safely managed service
AND,Andorra,total,Drinking water,2019,0,0,Unimproved
ARE,United Arab Emirates,total,Drinking water,2019,1.36955,128434.62682,Basic service
ARE,United Arab Emirates,total,Drinking water,2019,0,0,Limited service
ARE,United Arab Emirates,total,Drinking water,2019,0,0,Surface water
ARE,United Arab Emirates,total,Drinking water,2019,98.63044,9249412.17983,Safely managed service
ARE,United Arab Emirates,total,Drinking water,2019,0,0.19824,Unimproved
ARM,Armenia,total,Drinking water,2019,17.03126,494582.95281,Basic service
ARM,Armenia,total,Drinking water,2019,0,0,Limited service
ARM,Armenia,total,Drinking water,2019,0.45371,13175.52125,Surface water
ARM,Armenia,total,Drinking water,2019,82.42792,2393683.76096,Safely managed service
ARM,Armenia,total,Drinking water,2019,0.08711,2529.77172,Unimproved
ASM,American Samoa,total,Drinking water,2019,9.41505,4727.20079,Basic service
ASM,American Samoa,total,Drinking water,2019,0,0,Limited service
ASM,American Samoa,total,Drinking water,2019,0,0,Surface water
ASM,American Samoa,total,Drinking water,2019,90.09226,45234.42188,Safely managed service
ASM,American Samoa,total,Drinking water,2019,0.4927,247.37727,Unimproved
ATG,Antigua and Barbuda,total,Drinking water,2019,98.84362,90307.48215,At least basic
ATG,Antigua and Barbuda,total,Drinking water,2019,0,0,Limited service
ATG,Antigua and Barbuda,total,Drinking water,2019,0.21699,198.24803,Surface water
ATG,Antigua and Barbuda,total,Drinking water,2019,0.9394,858.26982,Unimproved
AUS,Australia,total,Drinking water,2019,99.96985,25475031.77842,At least basic
AUS,Australia,total,Drinking water,2019,0,0,Limited service
AUS,Australia,total,Drinking water,2019,0,0,Surface water
AUS,Australia,total,Drinking water,2019,0.03015,7682.22158,Unimproved
AUT,Austria,total,Drinking water,2019,1.09738,97456.73846,Basic service
AUT,Austria,total,Drinking water,2019,0,0,Limited service
AUT,Austria,total,Drinking water,2019,0,0,Surface water
AUT,Austria,total,Drinking water,2019,98.90262,8783419.24219,Safely managed service
AUT,Austria,total,Drinking water,2019,0,0.02344,Unimproved
AZE,Azerbaijan,total,Drinking water,2019,37.35415,3776681.88243,Basic service
AZE,Azerbaijan,total,Drinking water,2019,2.57876,260724.39773,Limited service
AZE,Azerbaijan,total,Drinking water,2019,1.00099,101204.8925,Surface water
AZE,Azerbaijan,total,Drinking water,2019,55.86468,5648185.00913,Safely managed service
AZE,Azerbaijan,total,Drinking water,2019,3.20142,323678.82209,Unimproved
BDI,Burundi,total,Drinking water,2019,63.75799,7813756.00881,At least basic
BDI,Burundi,total,Drinking water,2019,20.12618,2466530.49081,Limited service
BDI,Burundi,total,Drinking water,2019,3.60917,442316.24487,Surface water
BDI,Burundi,total,Drinking water,2019,12.50666,1532733.25551,Unimproved
BEL,Belgium,total,Drinking water,2019,0.38393,44116.24447,Basic service
BEL,Belgium,total,Drinking water,2019,0,0,Limited service
BEL,Belgium,total,Drinking water,2019,0,0,Surface water
BEL,Belgium,total,Drinking water,2019,99.61607,11446501.75486,Safely managed service
BEL,Belgium,total,Drinking water,2019,0,0,Unimproved
BEN,Benin,total,Drinking water,2019,51.05521,6497671.50588,Basic service
BEN,Benin,total,Drinking water,2019,7.47682,951557.03535,Limited service
BEN,Benin,total,Drinking water,2019,4.20955,535739.5207,Surface water
BEN,Benin,total,Drinking water,2019,16.92804,2154390.25845,Safely managed service
BEN,Benin,total,Drinking water,2019,20.33037,2587396.55928,Unimproved
BES,"Bonaire, Sint Eustatius and Saba",total,Drinking water,2019,1.45263,372.23578,Basic service
BES,"Bonaire, Sint Eustatius and Saba",total,Drinking water,2019,0,0,Limited service
BES,"Bonaire, Sint Eustatius and Saba",total,Drinking water,2019,0,0,Surface water
BES,"Bonaire, Sint Eustatius and Saba",total,Drinking water,2019,98.41613,25219.13233,Safely managed service
BES,"Bonaire, Sint Eustatius and Saba",total,Drinking water,2019,0.13125,33.63188,Unimproved
BFA,Burkina Faso,total,Drinking water,2019,50.69962,10627629.33091,At least basic
BFA,Burkina Faso,total,Drinking water,2019,28.09793,5889874.54018,Limited service
BFA,Burkina Faso,total,Drinking water,2019,0.91684,192188.24179,Surface water
BFA,Burkina Faso,total,Drinking water,2019,20.28561,4252259.88712,Unimproved
BGD,Bangladesh,total,Drinking water,2019,39.92265,65837667.02628,Basic service
BGD,Bangladesh,total,Drinking water,2019,0.87097,1436337.2106,Limited service
BGD,Bangladesh,total,Drinking water,2019,0.77766,1282462.86703,Surface water
BGD,Bangladesh,total,Drinking water,2019,58.18171,95949233.34387,Safely managed service
BGD,Bangladesh,total,Drinking water,2019,0.24701,407352.30622,Unimproved
BGR,Bulgaria,total,Drinking water,2019,2.65845,185439.23142,Basic service
BGR,Bulgaria,total,Drinking water,2019,0,0,Limited service
BGR,Bulgaria,total,Drinking water,2019,0,0,Surface water
BGR,Bulgaria,total,Drinking water,2019,96.61472,6739329.67193,Safely managed service
BGR,Bulgaria,total,Drinking water,2019,0.72683,50700.10477,Unimproved
BHR,Bahrain,total,Drinking water,2019,1.01594,15093.56289,Basic service
BHR,Bahrain,total,Drinking water,2019,0,0,Limited service
BHR,Bahrain,total,Drinking water,2019,0,0,Surface water
BHR,Bahrain,total,Drinking water,2019,98.90589,1469415.19798,Safely managed service
BHR,Bahrain,total,Drinking water,2019,0.07816,1161.23919,Unimproved
BHS,Bahamas,total,Drinking water,2019,98.94526,390512.2097,At least basic
BHS,Bahamas,total,Drinking water,2019,0,0,Limited service
BHS,Bahamas,total,Drinking water,2019,0,0,Surface water
BHS,Bahamas,total,Drinking water,2019,1.05474,4162.7903,Unimproved
BIH,Bosnia and Herzegovina,total,Drinking water,2019,7.40169,247625.90195,Basic service
BIH,Bosnia and Herzegovina,total,Drinking water,2019,3.81515,127637.02164,Limited service
BIH,Bosnia and Herzegovina,total,Drinking water,2019,0,0,Surface water
BIH,Bosnia and Herzegovina,total,Drinking water,2019,88.73679,2968718.46285,Safely managed service
BIH,Bosnia and Herzegovina,total,Drinking water,2019,0.04638,1551.62106,Unimproved
BLM,Saint Barthélemy,total,Drinking water,2019,0,0,Basic service
BLM,Saint Barthélemy,total,Drinking water,2019,0,0,Limited service
BLM,Saint Barthélemy,total,Drinking water,2019,0,0,Surface water
BLM,Saint Barthélemy,total,Drinking water,2019,100,10299,Safely managed service
BLM,Saint Barthélemy,total,Drinking water,2019,0,0,Unimproved
BLR,Belarus,total,Drinking water,2019,6.40045,603909.11709,Basic service
BLR,Belarus,total,Drinking water,2019,0.63027,59469.03141,Limited service
BLR,Belarus,total,Drinking water,2019,0,0,Surface water
BLR,Belarus,total,Drinking water,2019,92.77456,8753668.66771,Safely managed service
BLR,Belarus,total,Drinking water,2019,0.19471,18372.16908,Unimproved
BLZ,Belize,total,Drinking water,2019,94.13162,363187.08638,At least basic
BLZ,Belize,total,Drinking water,2019,1.191,4595.2258,Limited service
BLZ,Belize,total,Drinking water,2019,0,0,Surface water
BLZ,Belize,total,Drinking water,2019,4.67738,18046.68783,Unimproved
BMU,Bermuda,total,Drinking water,2019,100,64107,At least basic
BMU,Bermuda,total,Drinking water,2019,0,0,Limited service
BMU,Bermuda,total,Drinking water,2019,0,0,Surface water
BMU,Bermuda,total,Drinking water,2019,0,0,Unimproved
BOL,Bolivia (Plurinational State of),total,Drinking water,2019,91.22905,10647694.78223,At least basic
BOL,Bolivia (Plurinational State of),total,Drinking water,2019,0.13172,15373.19457,Limited service
BOL,Bolivia (Plurinational State of),total,Drinking water,2019,6.00615,701001.49609,Surface water
BOL,Bolivia (Plurinational State of),total,Drinking water,2019,2.63308,307316.52711,Unimproved
BRA,Brazil,total,Drinking water,2019,13.76165,28549294.35074,Basic service
BRA,Brazil,total,Drinking water,2019,0.39047,810050.00123,Limited service
BRA,Brazil,total,Drinking water,2019,85.01148,176360964.48266,Safely managed service
BRA,Brazil,total,Drinking water,2019,0.8364,1735150.17075,Unimproved
BRB,Barbados,total,Drinking water,2019,98.97236,278317.21079,At least basic
BRB,Barbados,total,Drinking water,2019,0.26884,756.00935,Limited service
BRB,Barbados,total,Drinking water,2019,0,0,Surface water
BRB,Barbados,total,Drinking water,2019,0.75879,2133.77985,Unimproved
BRN,Brunei Darussalam,total,Drinking water,2019,99.90009,442237.71629,At least basic
BRN,Brunei Darussalam,total,Drinking water,2019,0,0,Limited service
BRN,Brunei Darussalam,total,Drinking water,2019,0.09991,442.28371,Surface water
BRN,Brunei Darussalam,total,Drinking water,2019,0,0,Unimproved
BTN,Bhutan,total,Drinking water,2019,38.37115,293471.80087,Basic service
BTN,Bhutan,total,Drinking water,2019,0.85745,6557.98091,Limited service
BTN,Bhutan,total,Drinking water,2019,0.0566,432.89931,Surface water
BTN,Bhutan,total,Drinking water,2019,60.59223,463423.89804,Safely managed service
BTN,Bhutan,total,Drinking water,2019,0.12257,937.43526,Unimproved
BWA,Botswana,total,Drinking water,2019,25.11199,585632.44917,Basic service
BWA,Botswana,total,Drinking water,2019,4.74957,110763.99175,Limited service
BWA,Botswana,total,Drinking water,2019,0.77051,17969.00197,Surface water
BWA,Botswana,total,Drinking water,2019,66.36296,1547639.26237,Safely managed service
BWA,Botswana,total,Drinking water,2019,3.00497,70078.29478,Unimproved
CAF,Central African Republic,total,Drinking water,2019,31.92856,1578772.28826,Basic service
CAF,Central African Republic,total,Drinking water,2019,24.80869,1226716.09306,Limited service
CAF,Central African Republic,total,Drinking water,2019,3.72826,184351.56414,Surface water
CAF,Central African Republic,total,Drinking water,2019,6.28371,310710.83909,Safely managed service
CAF,Central African Republic,total,Drinking water,2019,33.25078,1644152.25988,Unimproved
CAN,Canada,total,Drinking water,2019,1.20931,456913.46252,Basic service
CAN,Canada,total,Drinking water,2019,0,0,Limited service
CAN,Canada,total,Drinking water,2019,0,0,Surface water
CAN,Canada,total,Drinking water,2019,97.35387,36783148.12348,Safely managed service
CAN,Canada,total,Drinking water,2019,1.43682,542873.42474,Unimproved
CHE,Switzerland,total,Drinking water,2019,3.3,283058.28791,Basic service
CHE,Switzerland,total,Drinking water,2019,0,0,Limited service
CHE,Switzerland,total,Drinking water,2019,0,0,Surface water
CHE,Switzerland,total,Drinking water,2019,96.7,8294465.63623,Safely managed service
CHE,Switzerland,total,Drinking water,2019,0,0.07422,Unimproved
CHL,Chile,total,Drinking water,2019,1.25751,241413.67768,Basic service
CHL,Chile,total,Drinking water,2019,0,0,Limited service
CHL,Chile,total,Drinking water,2019,1.00991,193879.82698,Surface water
CHL,Chile,total,Drinking water,2019,97.3067,18680692.0164,Safely managed service
CHL,Chile,total,Drinking water,2019,0.42588,81758.47779,Unimproved
CHN,China,total,Drinking water,2019,93.5327,1353600084.24388,At least basic
CHN,China,total,Drinking water,2019,1.0733,15532781.55867,Limited service
CHN,China,total,Drinking water,2019,0.21675,3136786.45006,Surface water
CHN,China,total,Drinking water,2019,5.17725,74924842.74739,Unimproved
CIV,Côte d’Ivoire,total,Drinking water,2019,37.2086,10490222.6149,Basic service
CIV,Côte d’Ivoire,total,Drinking water,2019,7.30836,2060445.67439,Limited service
CIV,Côte d’Ivoire,total,Drinking water,2019,3.561,1003952.28865,Surface water
CIV,Côte d’Ivoire,total,Drinking water,2019,38.44042,10837511.85601,Safely managed service
CIV,Côte d’Ivoire,total,Drinking water,2019,13.48163,3800876.44971,Unimproved
CMR,Cameroon,total,Drinking water,2019,68.79108,17545918.64771,At least basic
CMR,Cameroon,total,Drinking water,2019,13.251,3379812.86479,Limited service
CMR,Cameroon,total,Drinking water,2019,5.34563,1363462.03142,Surface water
CMR,Cameroon,total,Drinking water,2019,12.61229,3216901.45608,Unimproved
COD,Democratic Republic of the Congo,total,Drinking water,2019,24.38851,22668492.40922,Basic service
COD,Democratic Republic of the Congo,total,Drinking water,2019,21.32572,19821713.38379,Limited service
COD,Democratic Republic of the Congo,total,Drinking water,2019,8.50581,7905937.2226,Surface water
COD,Democratic Republic of the Congo,total,Drinking water,2019,11.29939,10502492.49484,Safely managed service
COD,Democratic Republic of the Congo,total,Drinking water,2019,34.48057,32048806.78827,Unimproved
COG,Congo,total,Drinking water,2019,27.5891,1549585.99918,Basic service
COG,Congo,total,Drinking water,2019,10.34657,581131.83547,Limited service
COG,Congo,total,Drinking water,2019,6.28282,352884.7076,Surface water
COG,Congo,total,Drinking water,2019,45.50899,2556085.41523,Safely managed service
COG,Congo,total,Drinking water,2019,10.27253,576973.03412,Unimproved
COK,Cook Islands,total,Drinking water,2019,99.72844,16085.20025,At least basic
COK,Cook Islands,total,Drinking water,2019,0,0,Limited service
COK,Cook Islands,total,Drinking water,2019,0,0,Surface water
COK,Cook Islands,total,Drinking water,2019,0.27156,43.79975,Unimproved
COL,Colombia,total,Drinking water,2019,22.90934,11433591.82712,Basic service
COL,Colombia,total,Drinking water,2019,0.17344,86562.40404,Limited service
COL,Colombia,total,Drinking water,2019,73.16924,36517292.61412,Safely managed service
COL,Colombia,total,Drinking water,2019,3.74797,1870537.76783,Unimproved
COM,Comoros,total,Drinking water,2019,85.58265,673174.33294,At least basic
COM,Comoros,total,Drinking water,2019,9.3913,73869.91268,Limited service
COM,Comoros,total,Drinking water,2019,0.69013,5428.39777,Surface water
COM,Comoros,total,Drinking water,2019,4.33592,34105.35661,Unimproved
CPV,Cabo Verde,total,Drinking water,2019,87.80857,451427.36486,At least basic
CPV,Cabo Verde,total,Drinking water,2019,9.03556,46452.15365,Limited service
CPV,Cabo Verde,total,Drinking water,2019,0.06155,316.42026,Surface water
CPV,Cabo Verde,total,Drinking water,2019,3.09433,15908.06123,Unimproved
CRI,Costa Rica,total,Drinking water,2019,19.27685,963756.1291,Basic service
CRI,Costa Rica,total,Drinking water,2019,0.20247,10122.6693,Limited service
CRI,Costa Rica,total,Drinking water,2019,0,0,Surface water
CRI,Costa Rica,total,Drinking water,2019,80.52068,4025674.22164,Safely managed service
CRI,Costa Rica,total,Drinking water,2019,0,0.02148,Unimproved
CUB,Cuba,total,Drinking water,2019,94.13217,10545481.8664,At least basic
CUB,Cuba,total,Drinking water,2019,3.09156,346343.23101,Limited service
CUB,Cuba,total,Drinking water,2019,0.2953,33082.22624,Surface water
CUB,Cuba,total,Drinking water,2019,2.48096,277938.67635,Unimproved
CUW,Curaçao,total,Drinking water,2019,100,189543,At least basic
CUW,Curaçao,total,Drinking water,2019,0,0,Limited service
CUW,Curaçao,total,Drinking water,2019,0,0,Surface water
CUW,Curaçao,total,Drinking water,2019,0,0,Unimproved
CYM,Cayman Islands,total,Drinking water,2019,95.61104,64372.04688,At least basic
CYM,Cayman Islands,total,Drinking water,2019,0,0,Limited service
CYM,Cayman Islands,total,Drinking water,2019,0.01,6.7327,Surface water
CYM,Cayman Islands,total,Drinking water,2019,4.37896,2948.22042,Unimproved
CYP,Cyprus,total,Drinking water,2019,0.31601,4066.03201,Basic service
CYP,Cyprus,total,Drinking water,2019,0,0,Limited service
CYP,Cyprus,total,Drinking water,2019,0.03801,489.06666,Surface water
CYP,Cyprus,total,Drinking water,2019,99.4377,1279436.03041,Safely managed service
CYP,Cyprus,total,Drinking water,2019,0.20828,2679.87092,Unimproved
CZE,Czechia,total,Drinking water,2019,0.58283,61517.38185,Basic service
CZE,Czechia,total,Drinking water,2019,1.19179,125792.13821,Limited service
CZE,Czechia,total,Drinking water,2019,0.04714,4975.04882,Surface water
CZE,Czechia,total,Drinking water,2019,98.14893,10359497.30017,Safely managed service
CZE,Czechia,total,Drinking water,2019,0.02931,3093.13309,Unimproved
DEU,Germany,total,Drinking water,2019,0.09066,75750.65396,Basic service
DEU,Germany,total,Drinking water,2019,0,0,Limited service
DEU,Germany,total,Drinking water,2019,0,0,Surface water
DEU,Germany,total,Drinking water,2019,99.90934,83483434.89409,Safely managed service
DEU,Germany,total,Drinking water,2019,0,0.45312,Unimproved
DJI,Djibouti,total,Drinking water,2019,78.50038,854640.69328,At least basic
DJI,Djibouti,total,Drinking water,2019,15.40821,167750.55409,Limited service
DJI,Djibouti,total,Drinking water,2019,0.49746,5415.88256,Surface water
DJI,Djibouti,total,Drinking water,2019,5.59395,60901.87007,Unimproved
DMA,Dominica,total,Drinking water,2019,96.46754,65482.16286,At least basic
DMA,Dominica,total,Drinking water,2019,0,0,Limited service
DMA,Dominica,total,Drinking water,2019,2.1471,1457.4488,Surface water
DMA,Dominica,total,Drinking water,2019,1.38537,940.38834,Unimproved
DNK,Denmark,total,Drinking water,2019,0.22502,13083.83978,Basic service
DNK,Denmark,total,Drinking water,2019,0,0,Limited service
DNK,Denmark,total,Drinking water,2019,0,0,Surface water
DNK,Denmark,total,Drinking water,2019,99.77498,5801534.0191,Safely managed service
DNK,Denmark,total,Drinking water,2019,0,0.14111,Unimproved
DOM,Dominican Republic,total,Drinking water,2019,51.79969,5643080.11375,Basic service
DOM,Dominican Republic,total,Drinking water,2019,0.91323,99488.16282,Limited service
DOM,Dominican Republic,total,Drinking water,2019,0.74432,81086.90004,Surface water
DOM,Dominican Republic,total,Drinking water,2019,44.9262,4894279.96562,Safely managed service
DOM,Dominican Republic,total,Drinking water,2019,1.61655,176107.86247,Unimproved
DZA,Algeria,total,Drinking water,2019,19.78101,8564097.50683,Basic service
DZA,Algeria,total,Drinking water,2019,4.85316,2101152.50368,Limited service
DZA,Algeria,total,Drinking water,2019,1.93283,836807.99981,Surface water
DZA,Algeria,total,Drinking water,2019,72.21879,31266799.18421,Safely managed service
DZA,Algeria,total,Drinking water,2019,1.21422,525689.0646,Unimproved
ECU,Ecuador,total,Drinking water,2019,22.63907,3925619.91152,Basic service
ECU,Ecuador,total,Drinking water,2019,3.05513,529760.68187,Limited service
ECU,Ecuador,total,Drinking water,2019,3.09466,536614.63744,Surface water
ECU,Ecuador,total,Drinking water,2019,68.56562,11889292.38214,Safely managed service
ECU,Ecuador,total,Drinking water,2019,2.64552,458733.25368,Unimproved
EGY,Egypt,total,Drinking water,2019,21.67126,23308123.35369,Basic service
EGY,Egypt,total,Drinking water,2019,0.70196,754984.51299,Limited service
EGY,Egypt,total,Drinking water,2019,0.01481,15929.66197,Surface water
EGY,Egypt,total,Drinking water,2019,75.9691,81707160.98086,Safely managed service
EGY,Egypt,total,Drinking water,2019,1.64287,1766959.09441,Unimproved
ESP,Spain,total,Drinking water,2019,0.38863,184344.95548,Basic service
ESP,Spain,total,Drinking water,2019,0,0,Limited service
ESP,Spain,total,Drinking water,2019,0,0,Surface water
ESP,Spain,total,Drinking water,2019,99.53721,47215592.48471,Safely managed service
ESP,Spain,total,Drinking water,2019,0.07417,35181.56627,Unimproved
EST,Estonia,total,Drinking water,2019,1.89343,25122.41567,Basic service
EST,Estonia,total,Drinking water,2019,0,0,Limited service
EST,Estonia,total,Drinking water,2019,0,0,Surface water
EST,Estonia,total,Drinking water,2019,98.07805,1301321.13734,Safely managed service
EST,Estonia,total,Drinking water,2019,0.02852,378.44757,Unimproved
ETH,Ethiopia,total,Drinking water,2019,36.6207,42383845.19909,Basic service
ETH,Ethiopia,total,Drinking water,2019,23.86155,27616736.83744,Limited service
ETH,Ethiopia,total,Drinking water,2019,9.10047,10532650.28947,Surface water
ETH,Ethiopia,total,Drinking water,2019,11.52577,13339626.99703,Safely managed service
ETH,Ethiopia,total,Drinking water,2019,18.8915,21864524.15407,Unimproved
FIN,Finland,total,Drinking water,2019,0.36385,20090.91998,Basic service
FIN,Finland,total,Drinking water,2019,0,0,Limited service
FIN,Finland,total,Drinking water,2019,0,0,Surface water
FIN,Finland,total,Drinking water,2019,99.63615,5501667.9306,Safely managed service
FIN,Finland,total,Drinking water,2019,0,0.1499,Unimproved
